id,formula_text,solution_text,model_text,hybrid_time,backend_only_time,is_hybrid_winner,hybrid_time_diff
29,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456))","SAT","{
f => 123456
e => 123455
d => 123456
c => 123456
b => 123456
a => 123456
}",7.997,77.920,1,-69.923
30,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456))","SAT","{
f => 123456
e => 123456
d => 123456
c => 123456
b => 123456
a => 123456
}",6.042,76.958,1,-70.916
31,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123456
d => 123455
c => 123455
b => 123455
a => 123456
}",13.858,88.198,1,-74.340
32,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123455
d => 123456
c => 123455
b => 123455
a => 123456
}",13.348,115.073,1,-101.725
33,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456))","SAT","{
g => 123456
f => 123455
e => 123456
d => 123456
c => 123455
b => 123455
a => 123456
}",15.928,129.489,1,-113.561
34,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123456
d => 123456
c => 123455
b => 123455
a => 123456
}",14.092,89.065,1,-74.973
35,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123455
d => 123455
c => 123456
b => 123455
a => 123456
}",898.416,189.823,0,708.593
36,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456))","SAT","{
g => 123456
f => 123455
e => 123456
d => 123455
c => 123456
b => 123455
a => 123456
}",20.248,103.957,1,-83.709
37,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123456
d => 123455
c => 123456
b => 123455
a => 123456
}",13.136,94.489,1,-81.353
38,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123455
d => 123456
c => 123456
b => 123455
a => 123456
}",12.080,92.367,1,-80.287
39,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456))","SAT","{
g => 123456
f => 123455
e => 123456
d => 123456
c => 123456
b => 123455
a => 123456
}",11.928,89.107,1,-77.179
40,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123456
d => 123456
c => 123456
b => 123455
a => 123456
}",10.088,85.002,1,-74.914
41,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123456
d => 123455
c => 123455
b => 123456
a => 123456
}",12.024,110.267,1,-98.243
42,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123455
d => 123456
c => 123455
b => 123456
a => 123456
}",14.833,92.690,1,-77.857
43,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456))","SAT","{
g => 123456
f => 123455
e => 123456
d => 123456
c => 123455
b => 123456
a => 123456
}",12.484,87.718,1,-75.234
44,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123456
d => 123456
c => 123455
b => 123456
a => 123456
}",9.855,83.543,1,-73.688
45,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123455
d => 123455
c => 123456
b => 123456
a => 123456
}",12.117,87.047,1,-74.930
46,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456))","SAT","{
g => 123456
f => 123455
e => 123456
d => 123455
c => 123456
b => 123456
a => 123456
}",11.817,85.130,1,-73.313
47,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123456
d => 123455
c => 123456
b => 123456
a => 123456
}",9.590,81.292,1,-71.702
48,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123455
d => 123456
c => 123456
b => 123456
a => 123456
}",135.464,103.727,0,31.737
49,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456))","SAT","{
g => 123456
f => 123455
e => 123456
d => 123456
c => 123456
b => 123456
a => 123456
}",11.531,109.027,1,-97.496
50,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456))","SAT","{
g => 123456
f => 123456
e => 123456
d => 123456
c => 123456
b => 123456
a => 123456
}",9.244,94.848,1,-85.604
51,"((b < a) ^ (c < a) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123455
d => 123455
c => 1152921504606846974
b => 1152921504606846974
a => 1152921504606846975
}",18.647,150.004,1,-131.357
52,"((b < a) ^ (a < c) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123455
d => 123455
c => 1152921504606846975
b => 1152921504606846973
a => 1152921504606846974
}",18.671,129.294,1,-110.623
53,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123456
d => 123455
c => 123455
b => 123455
a => 123456
}",20.347,122.068,1,-101.721
54,"((not (b < a)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (not (f = 123456)) ^ (not (g = 123456)) ^ (h = 123456) ^ (i = 123456))","SAT","{
i => 123456
h => 123456
g => 123455
f => 123455
e => 123456
d => 123455
c => 123455
b => 1152921504606846975
a => 1152921504606846975
}",23.622,137.337,1,-113.715
55,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123455
d => 123456
c => 123455
b => 123455
a => 123456
}",21.013,110.274,1,-89.261
56,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123456
d => 123456
c => 123455
b => 123455
a => 123456
}",18.795,139.288,1,-120.493
57,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123456
d => 123456
c => 123455
b => 123455
a => 123456
}",20.947,123.108,1,-102.161
58,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123456
d => 123456
c => 123455
b => 123455
a => 123456
}",17.452,182.920,1,-165.468
59,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123455
d => 123455
c => 123456
b => 123455
a => 123456
}",56.373,201.943,1,-145.570
60,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123456
d => 123455
c => 123456
b => 123455
a => 123456
}",20.326,105.641,1,-85.315
61,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123456
d => 123455
c => 123456
b => 123455
a => 123456
}",17.307,96.644,1,-79.337
62,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123456
d => 123455
c => 123456
b => 123455
a => 123456
}",15.140,90.816,1,-75.676
63,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (not (e = 123456)) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123455
d => 123456
c => 123456
b => 123455
a => 123456
}",17.124,94.778,1,-77.654
64,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123455
d => 123456
c => 123456
b => 123455
a => 123456
}",16.363,89.498,1,-73.135
65,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123455
d => 123456
c => 123456
b => 123455
a => 123456
}",15.008,87.360,1,-72.352
66,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123456
d => 123456
c => 123456
b => 123455
a => 123456
}",15.175,105.596,1,-90.421
67,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123456
d => 123456
c => 123456
b => 123455
a => 123456
}",17.362,114.970,1,-97.608
68,"((a = 123456) ^ (not (b = 123456)) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123456
d => 123456
c => 123456
b => 123455
a => 123456
}",13.155,93.458,1,-80.303
69,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123455
d => 123455
c => 123455
b => 123456
a => 123456
}",36.166,103.241,1,-67.075
70,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123456
d => 123455
c => 123455
b => 123456
a => 123456
}",19.032,95.587,1,-76.555
71,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123456
d => 123455
c => 123455
b => 123456
a => 123456
}",17.872,92.908,1,-75.036
72,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123456
d => 123455
c => 123455
b => 123456
a => 123456
}",15.414,90.319,1,-74.905
73,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (not (e = 123456)) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123455
d => 123456
c => 123455
b => 123456
a => 123456
}",17.436,93.752,1,-76.316
74,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123455
d => 123456
c => 123455
b => 123456
a => 123456
}",16.758,93.943,1,-77.185
75,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123455
d => 123456
c => 123455
b => 123456
a => 123456
}",15.600,92.615,1,-77.015
76,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123456
d => 123456
c => 123455
b => 123456
a => 123456
}",15.673,93.703,1,-78.030
77,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123456
d => 123456
c => 123455
b => 123456
a => 123456
}",15.175,88.838,1,-73.663
78,"((a = 123456) ^ (b = 123456) ^ (not (c = 123456)) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123456
d => 123456
c => 123455
b => 123456
a => 123456
}",13.204,92.897,1,-79.693
79,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123455
d => 123455
c => 123456
b => 123456
a => 123456
}",35.785,116.400,1,-80.615
80,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123456
d => 123455
c => 123456
b => 123456
a => 123456
}",16.089,96.549,1,-80.460
81,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123456
d => 123455
c => 123456
b => 123456
a => 123456
}",15.074,119.242,1,-104.168
82,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123456
d => 123455
c => 123456
b => 123456
a => 123456
}",15.571,96.289,1,-80.718
83,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (not (e = 123456)) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123455
d => 123456
c => 123456
b => 123456
a => 123456
}",15.113,90.561,1,-75.448
84,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123455
d => 123456
c => 123456
b => 123456
a => 123456
}",14.799,88.064,1,-73.265
85,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123455
d => 123456
c => 123456
b => 123456
a => 123456
}",12.234,86.258,1,-74.024
86,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123456
d => 123456
c => 123456
b => 123456
a => 123456
}",11.878,94.213,1,-82.335
87,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123456
d => 123456
c => 123456
b => 123456
a => 123456
}",12.622,91.844,1,-79.222
88,"((a = 123456) ^ (b = 123456) ^ (c = 123456) ^ (d = 123456) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123456
e => 123456
d => 123456
c => 123456
b => 123456
a => 123456
}",8.737,88.474,1,-79.737
89,"((not (b > a)) ^ (not (b < a)) ^ (c < a) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456))","SAT","{
h => 123456
g => 123456
f => 123455
e => 123455
d => 123455
c => 1152921504606846974
b => 1152921504606846975
a => 1152921504606846975
}",17.334,191.146,1,-173.812
90,"((not (b > a)) ^ (not (b < a)) ^ (a < c) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456))","SAT","{
h => 123456
g => 123455
f => 123456
e => 123455
d => 123455
c => 1152921504606846975
b => 1152921504606846974
a => 1152921504606846974
}",39.896,186.687,1,-146.791
91,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456) ^ (i = 123456))","SAT","{
i => 123456
h => 123456
g => 123456
f => 123456
e => 123455
d => 123455
c => 123455
b => 123455
a => 123456
}",27.583,125.163,1,-97.580
92,"((b < a) ^ (c < b) ^ (not (d = 123456)) ^ (not (e = 123456)) ^ (f = 123456) ^ (not (g = 123456)) ^ (not (h = 123456)) ^ (i = 123456) ^ (j = 123456))","SAT","{
j => 123456
i => 123456
h => 123455
g => 123455
f => 123456
e => 123455
d => 123455
c => 1152921504606846973
b => 1152921504606846974
a => 1152921504606846975
}",24.903,134.998,1,-110.095
93,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456) ^ (i = 123456))","SAT","{
i => 123456
h => 123456
g => 123456
f => 123455
e => 123456
d => 123455
c => 123455
b => 123455
a => 123456
}",23.440,105.386,1,-81.946
94,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456) ^ (i = 123456))","SAT","{
i => 123456
h => 123456
g => 123455
f => 123456
e => 123456
d => 123455
c => 123455
b => 123455
a => 123456
}",24.002,108.149,1,-84.147
95,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456) ^ (not (h = 123456)) ^ (i = 123456))","SAT","{
i => 123456
h => 123455
g => 123456
f => 123456
e => 123456
d => 123455
c => 123455
b => 123455
a => 123456
}",22.035,99.375,1,-77.340
96,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (not (d = 123456)) ^ (e = 123456) ^ (f = 123456) ^ (g = 123456) ^ (h = 123456) ^ (i = 123456))","SAT","{
i => 123456
h => 123456
g => 123456
f => 123456
e => 123456
d => 123455
c => 123455
b => 123455
a => 123456
}",19.663,94.638,1,-74.975
97,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (d = 123456) ^ (not (e = 123456)) ^ (not (f = 123456)) ^ (g = 123456) ^ (h = 123456) ^ (i = 123456))","SAT","{
i => 123456
h => 123456
g => 123456
f => 123455
e => 123455
d => 123456
c => 123455
b => 123455
a => 123456
}",20.222,97.904,1,-77.682
98,"((a = 123456) ^ (not (b = 123456)) ^ (not (c = 123456)) ^ (d = 123456) ^ (not (e = 123456)) ^ (f = 123456) ^ (not (g = 123456)) ^ (h = 123456) ^ (i = 123456))","SAT","{
i => 123456
h => 123456
g => 123455
f => 123456
e => 123455
d => 123456
c => 123455
b => 123455
a => 123456
}",45.825,149.807,1,-103.982
